Részvény: AAA

Dátum	Nyitó	Záró	Minimum	Maximum	Forgalom (db)
2009-06-17	87.0000	94.0000	87.0000	94.0000	280
2009-06-18	94.0000	90.0000	90.0000	94.0000	950
2009-06-19	92.0000	93.0000	92.0000	93.0000	2900
2009-06-22	91.0000	91.0000	91.0000	91.0000	600
2009-06-23	90.0000	93.0000	90.0000	93.0000	11684
2009-06-24	94.0000	94.0000	94.0000	94.0000	500
2009-06-25	92.0000	92.0000	92.0000	92.0000	100
2009-06-26	90.0000	87.0000	86.0000	90.0000	2000
2009-06-29	92.0000	92.0000	92.0000	92.0000	1000
2009-06-30	88.0000	94.0000	88.0000	94.0000	2060
2009-07-01	94.0000	94.0000	94.0000	94.0000	430
2009-07-10	91.0000	91.0000	91.0000	91.0000	70
